S.No,College Name,Address
76,"College of Engineering, Dr BR Ambedkar University, Srikakulam","Srikakulam, Andhra Pradesh"
77,DJR College of Engineering and Technology,"Vijayawada, Krishna District, Andhra Pradesh"
78,DJR Institute of Engineering and Technology,"Vijayawada, Krishna District, Andhra Pradesh"
79,DNR College of Engineering and Technology,"Bhimavaram, West Godavari District, Andhra Pradesh"
80,Dadi Institute of Engineering and Technology,"Visakhapatnam, Andhra Pradesh"
81,Daita Madhusudana Sastry Sri Venkateswara Hindu College of Engineering,"Machilipatnam, Krishna District, Andhra Pradesh"
82,Damsetty Srinivasa Naidu's DBS Institute of Technology,"Nellore, Andhra Pradesh"
83,Devineni Venkata Ramana and Dr Hima Sekhar MIC College of Technology,"Krishna District, Andhra Pradesh"
84,Dhanekula Institute of Engineering and Technology (DIET),"Vijayawada, Krishna District, Andhra Pradesh"
85,Don Bosco Institute of Technology and Science,"Guntur, Andhra Pradesh"
86,Dr KV Subba Reddy Institute of Technology,"Kurnool, Andhra Pradesh"
87,Dr Lankapalli Bullayya College of Engineering for Women,"Visakhapatnam, Andhra Pradesh"
88,Dr Paul Raj Engineering College,"East Godavari District, Andhra Pradesh"
89,Dr Paul Raj Engineering College East Godavari,"East Godavari District, Andhra Pradesh"
90,Dr Samuel George Institute of Engineering and Technology Prakasam,"Prakasam District, Andhra Pradesh"
91,Dr. Samuel George Institute of Engineering and Technology,"Markapur, Prakasam District, Andhra Pradesh"
92,Dravidian University College of Engineering and Technology,"Kuppam, Chittoor District, Andhra Pradesh"
93,EVM College of Engineering and Technology,"Guntur, Andhra Pradesh"
94,Eluru College of Engineering and Technology,"Eluru, West Godavari District, Andhra Pradesh"
95,Eswar College of Engineering,"Narasaraopet, Guntur District, Andhra Pradesh"
96,G Pullaiah College of Engineering and Technology,"Kurnool, Andhra Pradesh"
97,G. Pulla Reddy Engineering College (GPREC),"Kurnool, Andhra Pradesh"
98,GDMM College of Engineering and Technology,"Nandigama, Krishna District, Andhra Pradesh"
99,GDMM College of Engineering and Technology Nandigama,"Nandigama, Krishna District, Andhra Pradesh"
100,GIET College of Engineering,"Rajahmundry, East Godavari District, Andhra Pradesh"
101,GIET Engineering College Rajahmundry,"Rajahmundry, East Godavari District, Andhra Pradesh"
102,GITAM (Deemed to be University),"Visakhapatnam, Andhra Pradesh"
103,GMR Institute of Technology (GMRIT),"Rajam, Srikakulam District, Andhra Pradesh"
104,GVR and S College of Engineering and Technology,"Guntur, Andhra Pradesh"
105,GVVR Institute of Technology,"Bhimavaram, West Godavari District, Andhra Pradesh"
106,Gandhiji Institute of Science and Technology,"Bhimavaram, West Godavari District, Andhra Pradesh"
107,Gates Institute of Technology,"Gooty, Anantapur District, Andhra Pradesh"
108,Gayatri Institute of Engineering and Technology West Godavari,"West Godavari District, Andhra Pradesh"
109,Gayatri Vidya Parishad College for Degree and PG Courses School of Engineering Visakhapatnam,"Visakhapatnam, Andhra Pradesh"
110,Gayatri Vidya Parishad College for Degree and PG Courses Visakhapatnam,"Visakhapatnam, Andhra Pradesh"
111,Gayatri Vidya Parishad College of Engineering (GVPCE),"Visakhapatnam, Andhra Pradesh"
112,Gayatri Vidya Parishad College of Engineering for Women,"Visakhapatnam, Andhra Pradesh"
113,Geethanjali College of Engineering and Technology,"Orvakal, Kurnool District, Andhra Pradesh"
114,Geethanjali College of Engineering and Technology Orvakal,"Orvakal, Kurnool District, Andhra Pradesh"
115,Geethanjali Institute of Science and Technology,"Nellore, Andhra Pradesh"
116,Global College of Engineering and Technology,"Kadapa, Andhra Pradesh"
117,Godavari Global University,"Rajahmundry, East Godavari District, Andhra Pradesh"
118,Godavari Institute of Engineering and Technology (GIET),"Rajahmundry, East Godavari District, Andhra Pradesh"
119,Gokul Group of Institutions,"Vizianagaram, Andhra Pradesh"
120,Gokul Institute of Technology and Sciences,"Vizianagaram, Andhra Pradesh"
121,Gokula Krishna College of Engineering Nellore,"Nellore, Andhra Pradesh"
122,Golden Valley Integrated Campus,"Madanapalle, Chittoor District, Andhra Pradesh"
123,Gonna Institute of Information Technology and Sciences,"Visakhapatnam, Andhra Pradesh"
124,Gouthami Institute of Technology and Management for Women,"Cuddapah, Kadapa District, Andhra Pradesh"
125,Grandhi Varalakshmi Venkata Rao Institute of Technology,"Bhimavaram, West Godavari District, Andhra Pradesh"
126,Gurindapalli Devanandam Mary Memorial College of Engineering and Technology for Women,"Nandigama, Krishna District, Andhra Pradesh"
127,Gurindapalli Devanandam Mary Memorial College of Engineering and Technology for Women Nandigama,"Nandigama, Krishna District, Andhra Pradesh"
128,HMKS and MGS College of Engineering,"Kanagala, Guntur District, Andhra Pradesh"
129,Haji Mohammad Khasim Saheb and Mohammad Galab Saheb College of Engineering Guntur,"Guntur, Andhra Pradesh"
130,Helapuri Institute of Technology and Science,"Eluru, West Godavari District, Andhra Pradesh"
131,Hindu College of Engineering and Technology,"Guntur, Andhra Pradesh"
132,Ideal Institute of Technology,"Kakinada, East Godavari District, Andhra Pradesh"
133,Indian Institute of Information Technology Design and Manufacturing Kurnool (IIITDM Kurnool),"Kurnool, Andhra Pradesh"
134,Indian Institute of Information Technology Sri City (IIIT Sri City),"Sri City, Chittoor District, Andhra Pradesh"
135,Indian Institute of Petroleum and Energy (IIPE),"Visakhapatnam, Andhra Pradesh"
136,Indian Institute of Science Education and Research Tirupati (IISER Tirupati),"Tirupati, Andhra Pradesh"
137,Indian Institute of Technology Tirupati (IIT Tirupati),"Tirupati, Andhra Pradesh"
138,Indira Institute of Technology and Sciences,"Markapur, Prakasam District, Andhra Pradesh"
139,Indira Priyadarshini College of Engineering and Technology for Women,"Kurnool, Andhra Pradesh"
140,Indo American Institutions Technical Campus,"Visakhapatnam, Andhra Pradesh"
141,Intell Engineering College,"Anantapur, Andhra Pradesh"
142,Intellectual Engineering College,"Anantapur, Andhra Pradesh"
143,Intellectual Institute of Technology,"Anantapur, Andhra Pradesh"
144,International School of Technology and Sciences for Women,"Rajahmundry, East Godavari District, Andhra Pradesh"
145,JNTU Gurajada College of Engineering Vizianagaram,"Vizianagaram, Andhra Pradesh"
146,JNTUA College of Engineering Anantapur,"Anantapur, Andhra Pradesh"
147,JNTUK University College of Engineering Kakinada,"Kakinada, East Godavari District, Andhra Pradesh"
148,Jagan's College of Engineering and Technology,"Nellore, Andhra Pradesh"
149,Jogaiah Institute of Technology and Sciences,"Palakole, West Godavari District, Andhra Pradesh"
150,KITS Akshar Institute of Technology,"Guntur, Andhra Pradesh"
151,KKC Institute of Technology and Engineering,"Puttur, Chittoor District, Andhra Pradesh"
152,KKC Institute of Technology and Engineering for Women,"Chittoor, Andhra Pradesh"
153,KKR and KSR Institute of Technology and Sciences (KITS),"Guntur, Andhra Pradesh"
154,KLM College of Engineering for Women,"Kadapa, Andhra Pradesh"
155,KMM Institute of Technology and Science (KMMITS),"Tirupati, Andhra Pradesh"
156,KORM College of Engineering,"Kadapa, Andhra Pradesh"
157,KS Institute of Technology and Management,"Kadapa, Andhra Pradesh"
158,KSN Institute of Technology,"Nellore, Andhra Pradesh"
159,KSRM College of Engineering,"Kadapa, Andhra Pradesh"
160,Kakinada Institute of Engineering and Technology (KIET),"Korangi, East Godavari District, Andhra Pradesh"
161,Kakinada Institute of Engineering and Technology for Women,"Korangi, East Godavari District, Andhra Pradesh"
162,Kakinada Institute of Technological Sciences,"Ramachandrapuram, East Godavari District, Andhra Pradesh"
163,Kakinada Institute of Technology and Science Divili,"Divili, East Godavari District, Andhra Pradesh"
164,Kallam Haranadha Reddy Institute of Technology (KHIT),"Guntur, Andhra Pradesh"
165,Kandula Srinivasa Reddy College of Engineering (KSRMCE),"Cuddapah, Kadapa District, Andhra Pradesh"
166,Koneru Lakshmaiah Education Foundation (KL University),"Vaddeswaram, Guntur District, Andhra Pradesh"
167,Kottam Karunakara Reddy Institute of Technology,"Kurnool, Andhra Pradesh"
